id;isin;internal_code;asset_class;name;exchange_code;currency;sector_code;country_iso2;is_active;listed_at;policy_code;attributes_json;symbole_yfinance
477;;EQ:DE:TAGIMMOBILIEN;equity;TAG Immobilien AG;XETR;EUR;35;DE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-10-09"", ""last_close"": 12.89, ""n_obs_weekly"": 1350, ""history_years"": 25.9, ""reported_name"": ""TAG Immobilien AG""}, ""stooq_symbol_unverified"": null}";TEG.DE
253;;EQ:DE:VONOVIA;equity;Vonovia SE;XETR;EUR;35;DE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_13.1a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2013-07-08"", ""last_close"": 19.965, ""n_obs_weekly"": 685, ""history_years"": 13.1, ""reported_name"": ""Vonovia SE""}, ""stooq_symbol_unverified"": null}";VNA.DE
595;;EQ:ES:CASTELLANAPROPER;equity;Castellana Properties Socimi, S.A.;XMAD;EUR;35;ES;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SOCIMI (régime espagnol équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_6.0a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2020-08-03"", ""last_close"": 9.5, ""n_obs_weekly"": 316, ""history_years"": 6.0, ""reported_name"": ""Castellana Properties Socimi, S.A.""}, ""stooq_symbol_unverified"": null}";YCPS.MC
424;;EQ:ES:COLONIALSFLSOCIM;equity;Colonial SFL, Socimi S. A.;XMAD;EUR;35;ES;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SOCIMI (régime espagnol équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2002-05-13"", ""last_close"": 5.455, ""n_obs_weekly"": 1267, ""history_years"": 24.3, ""reported_name"": ""Colonial SFL, Socimi S. A.""}, ""stooq_symbol_unverified"": null}";COL.MC
624;;EQ:ES:GMPPROPERTYSOCIM;equity;GMP Property SOCIMI, S.A.;XMAD;EUR;35;ES;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SOCIMI (régime espagnol équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_10.1a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2016-07-25"", ""last_close"": 62.0, ""n_obs_weekly"": 526, ""history_years"": 10.1, ""reported_name"": ""GMP Property SOCIMI, S.A.""}, ""stooq_symbol_unverified"": null}";YGMP.MC
299;;EQ:ES:MERLINPROPERTIES;equity;MERLIN Properties SOCIMI, S.A.;XMAD;EUR;35;ES;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SOCIMI (régime espagnol équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_12.1a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2014-06-30"", ""last_close"": 14.14, ""n_obs_weekly"": 634, ""history_years"": 12.1, ""reported_name"": ""MERLIN Properties SOCIMI, S.A.""}, ""stooq_symbol_unverified"": null}";MRL.MC
478;FR0000033219;EQ:FR:ALTAREASCA;equity;Altarea SCA;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 99.8, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""Altarea SCA""}, ""stooq_symbol_unverified"": null}";ALTA.PA
649;;EQ:FR:ALTAREITSCA;equity;Altareit SCA;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-03-06"", ""last_close"": 585.0, ""n_obs_weekly"": 1381, ""history_years"": 26.4, ""reported_name"": ""Altareit SCA""}, ""stooq_symbol_unverified"": null}";AREIT.PA
532;;EQ:FR:ARGAN;equity;Argan SA;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2007-06-25"", ""last_close"": 72.9, ""n_obs_weekly"": 1000, ""history_years"": 19.1, ""reported_name"": ""Argan SA""}, ""stooq_symbol_unverified"": null}";ARG.PA
493;;EQ:FR:CARMILA;equity;Carmila S.A.;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2011-04-25"", ""last_close"": 16.34, ""n_obs_weekly"": 800, ""history_years"": 15.3, ""reported_name"": ""Carmila S.A.""}, ""stooq_symbol_unverified"": null}";CARM.PA
