internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes,n_obs,first,last,years,last_close,reported_currency,reported_name,name_ratio,error,status,reasons
EQ:FR:ORANGE,FR0000133308,Orange,XPAR,EUR,15,FR,ORA.PA,ora.fr,,1390,2000-01-03,2026-08-17,26.6,16.18,EUR,Orange S.A.,1.0,,ok,
EQ:FR:CARREFOUR,FR0000120172,Carrefour,XPAR,EUR,45,FR,CA.PA,ca.fr,,1390,2000-01-03,2026-08-17,26.6,15.895,EUR,Carrefour SA,1.0,,ok,
EQ:FR:SEB,FR0000121709,SEB,XPAR,EUR,40,FR,SK.PA,sk.fr,Cas du podcast ne pas confondre avec SEB banque suedoise,1390,2000-01-03,2026-08-17,26.6,57.65,EUR,SEB SA,1.0,,ok,
EQ:FR:ARKEMA,FR0010313833,Arkema,XPAR,EUR,55,FR,AKE.PA,ake.fr,Cas cyclique de reference doc 08,1058,2006-05-15,2026-08-17,20.3,60.0,EUR,Arkema S.A.,1.0,,ok,
EQ:FR:GETLINK,FR0010533075,Getlink,XPAR,EUR,50,FR,GET.PA,get.fr,,999,2007-07-02,2026-08-17,19.1,18.82,EUR,Getlink SE,1.0,,ok,
EQ:DE:SAP,DE0007164600,SAP,XETR,EUR,10,DE,SAP.DE,sap.de,,1481,1998-04-06,2026-08-17,28.4,182.5,EUR,SAP SE,1.0,,ok,
EQ:DE:SIEMENS,DE0007236101,Siemens,XETR,EUR,50,DE,SIE.DE,sie.de,,1555,1996-11-04,2026-08-17,29.8,275.8,EUR,Siemens Aktiengesellschaft,1.0,,ok,
EQ:DE:ALLIANZ,DE0008404005,Allianz,XETR,EUR,30,DE,ALV.DE,alv.de,,1549,1996-12-16,2026-08-17,29.7,442.0,EUR,Allianz SE,1.0,,ok,
EQ:DE:BASF,DE000BASF111,BASF,XETR,EUR,55,DE,BAS.DE,bas.de,,1549,1996-12-16,2026-08-17,29.7,50.99,EUR,BASF SE,1.0,,ok,
EQ:DE:BMW,DE0005190003,Bayerische Motoren Werke,XETR,EUR,40,DE,BMW.DE,bmw.de,Cas erosion de reference doc 08,1555,1996-11-04,2026-08-17,29.8,57.96,EUR,Bayerische Motoren Werke Aktiengesellschaft,1.0,,ok,
EQ:DE:MERCEDES,DE0007100000,Mercedes-Benz Group,XETR,EUR,40,DE,MBG.DE,mbg.de,,1556,1996-10-28,2026-08-17,29.8,45.065,EUR,Mercedes-Benz Group AG,1.0,,ok,
EQ:DE:DTELEKOM,DE0005557508,Deutsche Telekom,XETR,EUR,15,DE,DTE.DE,dte.de,,1553,1996-11-18,2026-08-17,29.7,28.86,EUR,Deutsche Telekom AG,1.0,,ok,
EQ:DE:MUNICHRE,DE0008430026,Muenchener Rueckversicherung,XETR,EUR,30,DE,MUV2.DE,muv2.de,,1470,1998-06-22,2026-08-17,28.2,523.6,EUR,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,1.0,,ok,
EQ:DE:ADIDAS,DE000A1EWWW0,adidas,XETR,EUR,40,DE,ADS.DE,ads.de,,1470,1998-06-22,2026-08-17,28.2,154.7,EUR,adidas AG,1.0,,ok,
EQ:DE:INFINEON,DE0006231004,Infineon Technologies,XETR,EUR,10,DE,IFX.DE,ifx.de,,1380,2000-03-13,2026-08-17,26.4,57.24,EUR,Infineon Technologies AG,1.0,,ok,
EQ:NL:ASML,NL0010273215,ASML Holding,XAMS,EUR,10,NL,ASML.AS,asml.nl,,1466,1998-07-20,2026-08-17,28.1,1541.8,EUR,ASML Holding N.V.,1.0,,ok,
EQ:NL:HEINEKEN,NL0000009165,Heineken,XAMS,EUR,45,NL,HEIA.AS,heia.nl,,1639,1995-03-27,2026-08-17,31.4,72.24,EUR,Heineken N.V.,1.0,,ok,
EQ:NL:WOLTERS,NL0000395903,Wolters Kluwer,XAMS,EUR,50,NL,WKL.AS,wkl.nl,,1639,1995-03-27,2026-08-17,31.4,69.98,EUR,Wolters Kluwer N.V.,1.0,,ok,
EQ:NL:ING,NL0011821202,ING Groep,XAMS,EUR,30,NL,INGA.AS,inga.nl,,1639,1995-03-27,2026-08-17,31.4,30.615,EUR,ING Groep N.V.,1.0,,ok,
EQ:NL:AHOLD,NL0011794037,Koninklijke Ahold Delhaize,XAMS,EUR,45,NL,AD.AS,ad.nl,,931,2008-10-20,2026-08-17,17.8,31.84,EUR,Koninklijke Ahold Delhaize N.V.,1.0,,ok,
EQ:NL:PROSUS,NL0013654783,Prosus,XAMS,EUR,10,NL,PRX.AS,prx.nl,,363,2019-09-09,2026-08-17,6.9,36.96,EUR,Prosus N.V.,1.0,,avertissement,historique_6.9a
EQ:ES:IBERDROLA,ES0144580Y14,Iberdrola,XMAD,EUR,65,ES,IBE.MC,ibe.es,,1390,2000-01-03,2026-08-17,26.6,20.22,EUR,"Iberdrola, S.A.",1.0,,ok,
EQ:ES:SANTANDER,ES0113900J37,Banco Santander,XMAD,EUR,30,ES,SAN.MC,san.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat,3,2026-08-03,2026-08-17,0.0,12.454,EUR,"Banco Santander, S.A.",1.0,,rejete,historique_tronque_provider(3pts)
EQ:ES:INDITEX,ES0148396007,Industria de Diseno Textil,XMAD,EUR,40,ES,ITX.MC,itx.es,,1318,2001-05-21,2026-08-17,25.2,57.06,EUR,"Industria de Diseño Textil, S.A.",1.0,,ok,
EQ:ES:AMADEUS,ES0109067019,Amadeus IT Group,XMAD,EUR,10,ES,AMS.MC,ams.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat,3,2026-08-03,2026-08-17,0.0,56.5,EUR,"Amadeus IT Group, S.A.",1.0,,rejete,historique_tronque_provider(3pts)
EQ:ES:TELEFONICA,ES0178430E18,Telefonica,XMAD,EUR,15,ES,TEF.MC,tef.es,,1390,2000-01-03,2026-08-17,26.6,3.68,EUR,"Telefónica, S.A.",1.0,,ok,
EQ:ES:AENA,ES0105046009,Aena,XMAD,EUR,50,ES,AENA.MC,aena.es,Introduite en bourse en 2015 historique court,602,2015-02-09,2026-08-17,11.5,26.2,EUR,"Aena S.M.E., S.A.",1.0,,avertissement,historique_11.5a
EQ:IT:ENEL,IT0003128367,Enel,XMIL,EUR,65,IT,ENEL.MI,enel.it,,1399,1999-11-01,2026-08-17,26.8,9.482,EUR,Enel SpA,1.0,,ok,
EQ:IT:FERRARI,NL0011585146,Ferrari,XMIL,EUR,40,NL,RACE.MI,race.it,ISIN neerlandais,555,2016-01-04,2026-08-17,10.6,357.4,EUR,Ferrari N.V.,1.0,,avertissement,historique_10.6a
EQ:IT:INTESA,IT0000072618,Intesa Sanpaolo,XMIL,EUR,30,IT,ISP.MI,isp.it,,1640,1995-03-20,2026-08-17,31.4,6.881,EUR,Intesa Sanpaolo S.p.A.,1.0,,ok,
EQ:IT:ENI,IT0003132476,Eni,XMIL,EUR,60,IT,ENI.MI,eni.it,,1604,1995-11-27,2026-08-17,30.7,24.0,EUR,Eni S.p.A.,1.0,,ok,
EQ:BE:ABINBEV,BE0974293251,Anheuser-Busch InBev,XBRU,EUR,45,BE,ABI.BR,abi.be,,1343,2000-11-27,2026-08-17,25.7,67.06,EUR,Anheuser-Busch InBev SA/NV,1.0,,ok,
EQ:BE:KBC,BE0003565737,KBC Groep,XBRU,EUR,30,BE,KBC.BR,kbc.be,,1390,2000-01-03,2026-08-17,26.6,130.0,EUR,KBC Group NV,1.0,,ok,
EQ:BE:UCB,BE0003739530,UCB,XBRU,EUR,20,BE,UCB.BR,ucb.be,,1390,2000-01-03,2026-08-17,26.6,217.3,EUR,UCB SA,1.0,,ok,
